# DistMx, SigRMx: 	0.76	0.5
#PrimCR	EnePCR	MnHPCR	NShow	NtSePs	NtClts	NtGam	Ntele	NMu	NNeut	NProt	NOthr	NClEl	NClMu	NClMx	NClRm	Ntel50	Nte100	Nte150	Nte200	Nte300	Nte500	Ntel1K	Ntel2K
1	0.3274	22.19	100000	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.3887	22.68	100000	28	0	1	1	1	23	2	0	0	0	0	0	0	1	0	0	0	0	0	0
1	0.6658	22.53	100000	593	6	80	39	308	134	32	0	2	0	0	4	23	8	4	1	1	1	1	0
1	0.9511	22.37	100000	5830	55	872	393	4025	391	144	5	9	0	0	46	176	71	36	51	37	17	5	0
1	1.307	22.32	100000	25256	300	3914	1788	18154	989	404	7	54	0	0	246	738	336	182	199	191	104	34	4
1	1.556	22.25	100000	71314	1065	11515	5111	52144	1722	803	19	168	0	0	897	1984	909	557	592	522	379	134	34
1	1.852	22.21	100000	160410	2586	26022	11598	118652	2766	1329	43	452	0	4	2130	4631	1971	1229	1329	1169	796	333	140
1	1.994	21.32	100000	322853	5379	54855	23922	237758	4141	2060	117	990	1	6	4382	9200	4320	2475	2673	2373	1737	806	338
1	2.33	21.31	100000	603316	10833	109349	47253	436466	6615	3433	200	2153	0	20	8660	18253	8272	4840	5427	4627	3498	1578	758
1	2.487	21.39	75000	795114	16009	157619	66451	558994	7545	4162	343	3186	3	54	12766	25756	11671	6660	7504	6492	4958	2181	1229
1	2.755	21.53	50000	920260	21005	210010	85313	612016	7996	4292	633	4456	9	74	16466	33140	15212	8711	9588	8137	6107	2772	1646
1	2.958	21.78	40000	1247914	31400	321142	127254	783399	9897	5399	823	6775	19	148	24458	50706	22610	12885	14090	11864	8835	3986	2278
1	3.342	21.96	30000	1675253	51037	512305	196991	944638	12763	6983	1573	11391	31	336	39279	78965	35057	19992	21553	18292	13602	6065	3465
1	3.507	21.97	25000	2588381	96518	922842	349076	1285181	18344	10235	2703	21905	121	808	73684	141563	62458	35147	37755	31846	23524	10408	6375
1	3.7	22.16	20000	3983666	184481	1630642	610154	1696314	26837	14609	5110	42879	256	1869	139477	248228	109285	61513	65831	55021	40881	18120	11275
1	3.943	22.4	15000	5742246	322574	2599421	971228	2107863	35957	20058	7719	75661	550	4282	242081	397241	172399	97073	104812	87943	64510	28947	18303
4	0.6703	37.39	100000	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1.077	37.36	100000	65	0	4	1	0	50	9	1	0	0	0	0	1	0	0	0	0	0	0	0
4	1.234	37.33	100000	852	2	106	38	324	305	79	0	1	0	0	1	23	9	2	4	0	0	0	0
4	1.553	37.38	100000	10950	93	1570	747	7166	1074	391	2	12	0	0	81	319	141	96	91	62	31	7	0
4	1.713	37.36	100000	58888	669	8923	4274	41774	2788	1115	14	111	0	0	558	1797	759	458	520	427	253	50	10
4	1.889	37.34	100000	189234	2616	29407	13680	138237	5436	2397	77	448	0	0	2168	5364	2551	1449	1586	1383	932	327	88
4	2.201	37.4	100000	459226	6853	73543	33169	339350	8806	4236	122	1177	1	3	5672	12984	5878	3443	3918	3252	2378	973	343
4	2.546	33.26	75000	730593	12083	121168	53762	539970	10373	5106	214	2175	1	9	9898	20629	9365	5516	6225	5545	4046	1674	762
4	2.663	26.05	50000	953436	17034	167988	73293	695097	10965	5743	350	3276	5	32	13721	28051	13046	7355	8474	7214	5503	2412	1238
4	2.875	26.24	40000	1365085	26896	261143	111043	971402	13593	7257	647	5385	10	89	21412	42588	19584	11237	12575	10944	8367	3738	2010
4	3.135	26.27	30000	1761951	37669	375157	154277	1206927	16107	8562	921	7736	37	162	29734	59963	27468	15321	17448	14912	11209	5123	2833
4	3.391	26.44	25000	2531830	61476	623411	248803	1625110	21293	11417	1796	13325	90	372	47689	98043	44160	25154	27744	23405	17859	7890	4548
4	3.651	26.44	20000	3547144	103014	1018909	397200	2085424	27493	15085	3033	22598	282	833	79301	158067	70766	40269	43892	36954	27668	12284	7300
4	3.988	26.63	15000	4777073	167952	1595307	609341	2513325	34821	19182	5097	37352	586	1916	128098	246220	108592	61103	66147	56519	41259	18190	11311
4	4.316	26.77	10000	6048463	270912	2340768	881478	2754460	41519	23079	7159	60457	1222	4226	205007	358582	157526	88015	95165	80096	59410	26279	16405
4	4.384	26.76	6000	7060933	404716	3076792	1147659	2756105	45551	25580	9246	88661	2172	8980	304903	470982	204619	114495	124029	103463	75900	33482	20689
4	4.645	26.97	1000	2311131	168581	1107923	406748	771446	14138	7776	3100	35662	934	5269	126716	167931	72525	40593	43875	36713	26417	11580	7114
12	1.24	42.71	100000	14	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1.392	42.73	100000	225	0	25	2	9	171	18	0	0	0	0	0	2	0	0	0	0	0	0	0
12	1.855	42.68	100000	3240	14	463	161	1331	1045	240	0	3	0	0	11	72	29	19	27	11	3	0	0
12	1.855	42.68	100000	3240	14	463	161	1331	1045	240	0	3	0	0	11	72	29	19	27	11	3	0	0
12	1.968	42.78	100000	38542	335	5748	2574	25346	3607	1252	15	62	0	0	273	1110	502	299	315	211	115	19	3
12	2.16	42.72	100000	195902	2270	30104	13776	139420	8874	3683	45	362	0	0	1908	5541	2622	1473	1689	1346	824	246	35
12	2.439	42.73	75000	460201	6403	72422	33022	336499	12437	5678	143	1026	0	0	5377	12791	6194	3497	3884	3292	2308	820	236
12	2.674	42.66	50000	736195	11473	117153	53033	545429	13668	6705	207	1978	0	5	9490	20374	9524	5517	6307	5257	3928	1537	589
12	2.958	36.66	40000	1239440	20733	205519	91007	916306	17450	8795	363	3809	2	34	16888	34616	16165	9374	10519	9201	6863	2918	1351
12	3.245	29.41	30000	1807722	32251	319489	138862	1317951	20216	10566	638	6119	18	79	26035	53476	24391	14112	15863	13661	10461	4621	2277
12	3.384	29.46	25000	2693819	53491	521343	220921	1909555	26805	13999	1196	10683	89	163	42556	84858	38984	22438	25100	21704	16613	7281	3943
12	3.848	29.59	20000	3700236	80019	795490	327469	2524662	32893	17837	1885	16756	224	398	62641	127543	57802	33022	36794	31753	23671	10753	6131
12	4.118	29.64	15000	4750663	118836	1176185	471061	3039475	39308	21408	3226	25366	526	966	91978	186077	83435	47358	51758	44814	33422	15205	8992
12	4.222	29.71	10000	5566806	168738	1618378	629608	3247165	43052	23621	4982	36397	1174	2115	129052	252293	112252	63094	68770	58470	43574	19375	11780
12	4.49	29.87	6000	6142323	239865	2098083	799888	3169017	44469	24596	6270	50785	2179	4822	182079	323220	142693	79996	86947	73035	54962	24219	14816
12	4.701	30.1	1000	1902777	98209	741404	279105	860221	12755	7125	2167	20376	1063	2984	73786	113425	50031	27907	30253	25397	18634	8308	5150
56	1.89	50.58	100000	150	0	6	0	0	136	8	0	0	0	0	0	0	0	0	0	0	0	0	0
56	2.207	50.59	100000	2190	8	200	48	181	1533	228	0	6	0	0	2	19	11	6	9	2	1	0	0
56	2.466	50.47	75000	27002	167	4029	1700	14266	5464	1536	7	40	0	0	127	818	361	197	168	113	40	3	0
56	2.631	50.52	50000	159433	1541	23623	10979	109180	11294	4305	52	257	0	0	1284	4587	2135	1240	1352	1011	524	118	12
56	2.927	50.6	40000	536477	6672	82479	38257	386680	20244	8659	158	1135	0	3	5534	15337	7098	4161	4591	3754	2391	794	131
56	3.277	50.58	30000	1141715	16252	179346	81553	840846	26908	12773	289	2814	0	5	13433	31643	14813	8831	9605	8189	5622	2183	667
56	3.388	50.57	25000	2171382	34628	351779	157035	1607358	36779	17790	641	6096	18	30	28484	60616	27850	16391	18009	15798	11514	4916	1941
